Gender,Major,Minor,Ethnic,Orientation,MotherEdu,FatherEdu,Year,International,Country,Transfer,EFL,FirstGen,STEM,GPA,HighGPA,SameEthnic,OtherEthnic,Q2.1,Q2.2,Q2.3,Q2.4,Q2.5,Q3.1,Q3.2,Q3.3,Q3.4,Q3.5,Q3.6,Q3.7,Q3.8,Q3.9,Q3.10,Q3.11,Q3.12,Q3.13,Q3.14,Q3.15,Q3.16,Q3.17,Q3.18,Q3.19,Q3.20,Q3.21,Q3.22,Q3.23,Q3.24,HelpFactor,InhibitFactor,FamilyValue,Academic,SES,Belonging,Stress,Exclusion
Female,Statistics,Education,Latino/Hispanic,Heterosexual,High school or less,High school or less,Senior,No,,No,No,Yes,Yes,3.188,4.5,10,10,Sometimes,Sometimes,Always,Sometimes,Never,Not Sure,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Not Sure,Not Sure,Agree,Strongly Disagree,Disagree,Agree,Disagree,Disagree,Agree,Strongly Agree,Agree,Not Sure,Agree,Agree,Agree,Agree,Agree,"I think some of my friends, family, and my self-drive are what have helped me succeed at UCLA. ",I think one of my biggest inhibitors of my success has been dealing with my anxiety. ,Average Value,40.6,100,58.3,31.3,83.3
Male,Sociology,,Calcasian,Heterosexual,Four-year College,Four-year College,Junior,No,,No,Yes,No,No,3.4,4.3,15,0,Sometimes,Sometimes,Always,Often,Rarely,Agree,Not Sure,Not Sure,Not Sure,Disagree,Agree,Not Sure,Not Sure,Disagree,Disagree,Disagree,Disagree,Not Sure,Agree,Agree,Disagree,Not Sure,Not Sure,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Not Sure,n/a,"n/a
",Average Value,68.8,50,66.7,31.3,41.7
Female,Statistics,,Asian,Bisexual,Four-year College,Four-year College,Senior,Yes,"Hong Kong, China",Yes,No,No,Yes,3.67,4,80,20,Often,Often,Always,Rarely,Rarely,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Not Sure,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Not Sure,Agree,Agree,Agree,Not Sure,Not Sure,Agree,Strongly Agree,Strongly Agree,Not Sure,Agree,Agree,Friends. We will help each other if anyone encounters difficulties.,Language and culture. Sometimes it's too confusing to understand what professor is saying.,High Value,56.3,0,38.9,87.5,58.3
Female,Statistics,,Asian,Heterosexual,Four-year College,Four-year College,Senior,Yes,Chin,Yes,No,No,Yes,3.92,3.95,30,20,Sometimes,Never,Always,Often,Often,Not Sure,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Not Sure,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Friendly environment, advanced academic resources, etc.","Good habits, outgoing character, open mindset, etc. ",High Value,96.9,0,94.4,6.3,0
Female,Economics,none,Asian,Heterosexual,High school or less,High school or less,Senior,No,,Yes,No,Yes,No,3.319,3.8,20,2,Sometimes,Sometimes,Always,Always,Sometimes,Not Sure,Disagree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Not Sure,Strongly Agree,Disagree,Disagree,Not Sure,Agree,Agree,Agree,Strongly Disagree,Agree,Not Sure,Strongly Agree,Strongly Agree,Not Sure,Not Sure,Strongly Agree,"Plan making helps me a lot on academic, especially when I was in final week. Plan making can help me to management my study time on each class, knowing which one I should study first, and what I need to study.","Every semester is just too fast. Starting from week 3, too many homework and exam comes one by one. That really makes me crazy. Too many works just makes me totally do not want to study.",Average Value,50,8.3,63.9,50,50
Female,Statistics,,Asian,Heterosexual,Four-year College,Four-year College,Senior,Yes,South Korea,Yes,No,No,Yes,3.6,3.8,10,30,Sometimes,Often,Always,Rarely,Rarely,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Agree,Not Sure,Agree,Strongly Disagree,Not Sure,Agree,Agree,Agree,Not Sure,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Not Sure,Disagree,Luckily I was able to make friends in my major during orientation which I now consult with about jobs and classes. I got stuck with them for a year and it has facilitated the process of succeeding in my classes. Joining clubs also helped me to find people like me.,"Being a transfer inhibited my success because the level of classes got a lot more difficult and I didn't have much information about resources regarding internships, jobs, etc. and how to prepare for them. I feel behind most students in my major because of this. ",High Value,56.3,91.7,58.3,37.5,66.7
Female,Labor and Workplace Studies; Sociology,,Latino/Hispanic,Bisexual,High school or less,High school or less,Senior,No,,Yes,No,Yes,No,3.49,NA,7,12,Sometimes,Sometimes,Always,Rarely,Rarely,Not Sure,Strongly Disagree,Not Sure,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Not Sure,Strongly Disagree,Not Sure,Disagree,Agree,Not Sure,Disagree,Disagree,Not Sure,Not Sure,Strongly Agree,"Support Services and programs on campus like the Transfer Center, AAP, Financial Wellness Program, CPO, Peer mentors, and Counseling departments have helped me tremendously. 
Building supportive friend groups and networks allowed me to overcome several obstacles through solidarity. 
Having emotionally-supportive loved ones helped me to combat my anxiety.","The transfer process was very difficult for the first year-having to adjust and adapt in a new environment and community. The process did not end in the first year as I immediately had to go through moving and re-settling in the city of Los Angeles for the second year at UCLA. It feels like there was very little time for transfers to get accustomed and fit in. For this reason I find a sense of belonging at a smaller scale with my small groups of friends and loved ones versus feeling like a belong in UCLA in the larger university community or in the surrounding city.
Throughout my entire time in UCLA, I have felt my anxiety heighten; however, it is through solidarity with others in similar situations that I have built resiliency.",Low Value,21.9,100,61.1,68.8,50
Female,Statistics,,Asian,Heterosexual,High school or less,High school or less,Senior,Yes,China,Yes,No,Yes,Yes,2.97,3.89,10,2,Sometimes,Often,Always,Rarely,Sometimes,Not Sure,Not Sure,Disagree,Not Sure,Disagree,Agree,Not Sure,Agree,Agree,Agree,Not Sure,Not Sure,Not Sure,Agree,Agree,Not Sure,Disagree,Not Sure,Not Sure,Agree,Agree,Not Sure,Not Sure,Disagree,"The faultiest are nice and wish to help, my friends help me a lot and most of the professors are willing to help us success. ","I guess myself inhibited my success at UCLA, since I am not confident to join a club that I interested, and I need my friends accompanying, otherwise, I would feel lonely. Most of time, I am easy to be distracted by other things and hard to focus on my assignments. ",Average Value,46.9,50,50,56.3,41.7
Female,International Development Studies,,Asian,Heterosexual,High school or less,High school or less,Junior,No,,No,No,Yes,No,3.49,4.16,4,10,Sometimes,Often,Always,Rarely,Rarely,Agree,Not Sure,Agree,Strongly Agree,Agree,Not Sure,Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Not Sure,Strongly Disagree,Disagree,Not Sure,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"The main factor that helped me was through building community, meaning finding my friend group. Having a strong friend group allows me to feel safe, supported, acknowledged, and most importantly happy at UCLA.","Myself. I am my biggest enemy, weather it is being too scared to make friends during freshman year or afraid to speak up during class. I believe you are your own worst enemy so it is important to always push yourself and change your mindset for the better.",Low Value,75,75,88.9,12.5,25
Female,Statistics,,Asian,Heterosexual,Graduate or Professional Degree,Graduate or Professional Degree,Senior,Yes,China,No,No,No,Yes,3.85,3.8,10,0,Sometimes,Sometimes,Always,Always,Sometimes,Agree,Agree,Disagree,Disagree,Disagree,Not Sure,Agree,Not Sure,Not Sure,Agree,Not Sure,Not Sure,Agree,Agree,Agree,Disagree,Disagree,Not Sure,Agree,Not Sure,Agree,Agree,Agree,Agree,"I have to say that my pre-college education prepared me a lot to succeed academically in UCLA. Because I received relatively intense math training back in China, I can handle/manage to handle most of the STEM materials in college. Many people think that STEM students are smart, but from my own experience I would say that all my success, if any, are own to practice or training that cumulated since I was very young. ","The most significant difficulty that comes to me is to figure out what I want to do after college. UCLA is such a huge school and it can be hard for freshmen to connect with seniors or others to seek help about future plans. For my first two years at UCLA, I was very lost and felt like there were only things that I didn't want to do. It is very hard to achieve anything when you don't even know what you want to achieve. Although through later exploration and by luck I was able to figure out my goal, it could have been so much easier if I was able to do so at an earlier time.",Average Value,62.5,33.3,61.1,50,33.3
